Provinsi,Kategori,Nama Usaha,Alamat Usaha,Nomor Telepon
RIAU,"KESENIAN, HIBURAN DAN REKREASI","GRAND HOTEL KERINCI WATERPARK, PT","JL LINTAS TIMUR, PANGKALAN KERINCI TIMUR, KEC. PANGKALAN KERINCI, KAB. PELALAWAN",0761-494999
RIAU,"KESENIAN, HIBURAN DAN REKREASI","HARCO MANDIRI SEJAHTERA, PT","JL LINTAS SUMUT KM 4, BAHTERA MAKMUR, KEC. BAGAN SINEMBAH, KAB. ROKAN HILIR 28992",082386273193
RIAU,"KESENIAN, HIBURAN DAN REKREASI",KARAOKE HAPPY PUPPY,"JL JENDRAL SUDIRMAN RT. 01/RW. 21, TENGKERANG TENGAH, KEC. MARPOYAN DAMAI, KOTA PEKANBARU 28282",081267281115
RIAU,"KESENIAN, HIBURAN DAN REKREASI",KAROKE PING,"JL SULTAN HASANUDDIN RT. 19, RIMBA SEKAMPUNG, KEC. DUMAI KOTA, KOTA D U M A I 28822",0812761002000
RIAU,"KESENIAN, HIBURAN DAN REKREASI","KARYA RIAU ABADI, PT","JL LINTAS TIMUR BLOK B NO 15 MANDIRI SWALAYAN RT. 01/RW. 08, PANGKALAN KERINCI TIMUR, KEC. PANGKALAN KERINCI, KAB. PELALAWAN 28300",0761-494774
RIAU,"KESENIAN, HIBURAN DAN REKREASI","KARYA RIAU MANDIRI, PT","JL SATRIA KUANTAN REGENCY NOMOR 04 RT. 01/RW. 21, REJOSARI, KEC. TENAYAN RAYA, KOTA PEKANBARU 28241",0761-7891777
RIAU,"KESENIAN, HIBURAN DAN REKREASI",KINDERLAND,"JL SOEKARNO HATTA MALL SKA RT. 02/RW. 12, DELIMA, KEC. TAMPAN, KOTA PEKANBARU 28291",
RIAU,"KESENIAN, HIBURAN DAN REKREASI","KOLAM RENANG ARAS ARAS CIPI, PT","JL HANG TUAH RT. 03/RW. 01, REJOSARI, KEC. TENAYAN RAYA, KOTA PEKANBARU 28241",085278033396
RIAU,"KESENIAN, HIBURAN DAN REKREASI",LAPANGAN GOLF,"JL LABERSA RT. 04/RW. 01, TANAH MERAH, KEC. SIAK HULU, KAB. KAMPAR 28452",0761-7865591
RIAU,"KESENIAN, HIBURAN DAN REKREASI",MAESTRO KARAOKE,"JL SOEKARNO HATTA NO RT. 02/RW. 12, DELIMA, KEC. TAMPAN, KOTA PEKANBARU 28291",082387320975
