Provinsi,Kategori,Nama Usaha,Alamat Usaha,Nomor Telepon
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,TORSIBOHI NAULI HOTEL,"JL RAYA SIPIROK-PADANGSIDIMPUAN, BARINGIN, KEC. SIPIROK",
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,BUMI ASIH HOTEL,"JL PADANG SIDEMPUAN KM 10, PANDAN WANGI, KEC. PANDAN 22613 (0631) 372144 (0631) 372144",
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,PANDAN CARITA HOTEL,"JL PADANG SIDEMPUAN PANDAN, PANDAN, KEC. PANDAN 22611",0631-371955
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,BALI HOTEL,"JL BALIGE, SIMAMORA, KEC. TARUTUNG 22411",0633-21285
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,PERDANA HOTEL,"JL BALIGE, SIMAMORA, KEC. TARUTUNG 22411",0315-96581355
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,ROMA ANUGERAH HOTEL,"JL BALIGE LK V SIBORONG BORONG, PASAR SIBORONG-BORONG, KEC. SIBORONG-BORONG 22474",082276368945
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,GM MARSARINGAR HOTEL,"JL GEREJA NO 32, BALIGE III, KEC. BALIGE 22315",0632-21554; 0632-322662
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,VILLA SAPADIA,"JL SUTOMO, SANGKAR NIHUTA, KEC. BALIGE",081262023262
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,NUANSA HOTEL,"JL SM RAJA NO 15, BAKARAN BATU, KEC. RANTAU SELATAN",08126224281
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,PERMATA LAND,"JL AHMAD YANI, KARTINI, KEC. RANTAU UTARA 21413",0624-23305; 0624-22463
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,PLATINUM HOTEL,"JL SM RAJA, BAKARAN BATU, KEC. RANTAU SELATAN 21495",0624-351366167
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,RANTAU PRAPAT JAYA HOTEL,JL AHMAD YANI NO 178 RANTAU PRAPAT,
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,SUZUYA HOTEL,"JL JEND AHMAD YANI NO.125, KARTINI, KEC. RANTAU UTARA 21412",
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,"ES TELLER 77, PT","JL JEND A YANI, KARTINI, KEC. RANTAU UTARA 21412",082164920411
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,"FASTFOOD INDONESIA TBK, PT","JL JEND A YANI, KARTINI, KEC. RANTAU UTARA 21412",
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,HOLAT RUMAH MAKAN,"JL SM RAJA AEK TAPA B, BAKARAN BATU, KEC. RANTAU SELATAN 21415",082167733706
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,ROTI O,"JL WR SUPRATMAN, PADANG MATINGGI, KEC. RANTAU UTARA 21411",
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,AKASIA HOTEL,"JL MAHONI NO 2, MEKAR BARU, KEC. KISARAN BARAT 21216",0623-44945
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,NUSA INDAH HOTEL,"JL JEND A YANI SIMP KEDAI LEDANG, KISARAN NAGA, KEC. KISARAN TIMUR (0623) 357195 (0623) 357195",
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,SABTY GARDEN HOTEL,"JL DIPONEGORO NO 230A KISARAN, KISARAN BARU, KEC. KISARAN BARAT",
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,"CFC (PIONEER INDOGOURMET INTERNATIONAL TBK, PT)","JL HOS COKROAMINOTO, KISARAN BARU, KEC. KISARAN BARAT 21216",085270704626
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,ATSARI HOTEL,"JL PULO SAMOSIR, PARAPAT, KEC. GIRSANG SIPANGAN BOLON",
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,DANAU TOBA INTERNASIONAL COTTAGE HOTEL,"JL NELSON PURBA NO.04, TIGA RAJA, KEC. GIRSANG SIPANGAN BOLON 21174",0625-41172
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,MCA HOTEL,"JL SISINGAMANGARAJA, PERDAGANGAN I, KEC. BANDAR 21184",
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,PARAPAT VIEW HOTEL,"JL JONATAN SINAGA NO 7, PARAPAT, KEC. GIRSANG SIPANGAN BOLON 21174",0625-41376
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,PATRA JASA HOTEL,"JL PERTAMINA SIUHAN, SIBAGANDING, KEC. GIRSANG SIPANGAN BOLON 21174",
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,SIANTAR HOTEL PARAPAT,"JL SM RAJA NO 8/RW. 53, PARAPAT, KEC. GIRSANG SIPANGAN BOLON 21174",0625-41564565
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,SIMALUNGUN CITY HOTEL,"JL SUTOMO HAPOLTAKAN, SONDI RAYA, KEC. RAYA 21162",0622-331299
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,SING A SONG HOTEL,"JL HOK SALAMUDDIN, SIANTAR ESTATE, KEC. SIANTAR 21151",0622-7551111
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,"SURYA NIAGARA INDAH, PT","JL PEMBANGUNAN NO 1 , PARAPAT, KEC. GIRSANG SIPANGAN BOLON 21174",
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,TARABUNGA HOTEL,"JL KOL.TPR SINAGA NO 20 , PARAPAT, KEC. GIRSANG SIPANGAN BOLON",
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,BERRISTERA HOTEL,"JL SIDIKALANG MEDAN KM 6,4 DSN IV, SITINJO II, KEC. SITINJO 22219",0627-22500
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,MUTIARA DAIRI HOTEL,"JL PARLUASAN, HUTA RAKJAT, KEC. SIDIKALANG 22151",082161088412
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,BERASTAGI COTTAGE,"JL GUNDALING NO 65 BERASTAGI, GONGSOL, KEC. MERDEKA 22153 0628-913540,91456",0628-91725
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,BUKIT KUBU HOTEL,"JL JAMIN GINTING NO2, LAU GUMBA, KEC. BERASTAGI 22152",
